HousePlant|-01.25|+01.11|+00.61
CoffeeMachine|+00.50|+00.90|-02.13
Kettle|-01.05|+00.90|-02.09
Toaster|+00.84|+00.90|-02.06
SaltShaker|+01.19|+00.90|-02.18
PepperShaker|+00.71|+00.90|-01.82
Potato|-00.86|+01.16|+00.63
Bowl|-00.51|+01.12|+00.54
Bread|-01.15|+00.98|-00.19
Pot|-01.09|+00.90|+00.24
SaltShaker|+01.19|+00.90|-02.18
Pan|+01.74|+00.90|-01.97
DishSponge|-00.61|+00.92|-01.96
PepperShaker|+00.71|+00.90|-01.82
Plate|-01.12|+00.90|-01.65
SoapBottle|-00.62|+00.90|-02.16
Lettuce|-00.25|+00.81|-01.92
Cup|+00.10|+00.75|-01.94
